subID,trial,targetIdx,imgPath,stair1,stair2
18,15,1,S3-12.jpg,0.789598509698444,0.714555188821316
18,16,1,S3-12.jpg,0.783802133470997,0.720105939867564
18,17,1,S3-12.jpg,0.797195824525844,0.724262434811944
18,18,1,S3-12.jpg,0.792497936777588,0.7275346736885
18,19,1,S3-12.jpg,0.803452880179013,0.72627902793784
18,20,1,S3-12.jpg,0.811660831654881,0.729381572230201
18,21,1,S3-12.jpg,0.808765227275102,0.731603728738351
18,22,1,S3-12.jpg,0.805556139203947,0.730821106544225
18,23,1,S3-12.jpg,0.802117255207418,0.732670985491152
18,24,1,S3-12.jpg,0.810202306676712,0.734211475048273
18,25,1,S3-12.jpg,0.816467622897341,0.735528746677789
18,1,2,S4-20.jpg,0.634258305431455,0.534258305431454
18,2,2,S4-20.jpg,0.596357985683836,0.614759658408964
18,3,2,S4-20.jpg,0.683533972123939,0.593449978105948
18,4,2,S4-20.jpg,0.73877946127019,0.642873597668654
18,5,2,S4-20.jpg,0.77288008528532,0.673793199850503
18,6,2,S4-20.jpg,0.763340983466485,0.664614294832903
18,7,2,S4-20.jpg,0.75283082856127,0.654541260911485
18,8,2,S4-20.jpg,0.741476407585339,0.643697749191778
18,9,2,S4-20.jpg,0.729483742269877,0.668932421635127
18,10,2,S4-20.jpg,0.757899724107316,0.660304042240766
18,11,2,S4-20.jpg,0.779752953195937,0.680707167194144
18,12,2,S4-20.jpg,0.795354390727647,0.695677192128613
18,13,2,S4-20.jpg,0.790234031394096,0.6906709828662
18,14,2,S4-20.jpg,0.802407767907396,0.702526953159024
18,15,2,S4-20.jpg,0.811197620264258,0.711187328572527
18,16,2,S4-20.jpg,0.808147603072089,0.717631447596243
18,17,2,S4-20.jpg,0.804794679391714,0.715334454843514
18,18,2,S4-20.jpg,0.81245910681261,0.712869903032952
18,19,2,S4-20.jpg,0.818409650731797,0.710239714484613
18,20,2,S4-20.jpg,0.816232341999779,0.716562304367067
18,21,2,S4-20.jpg,0.813910054013114,0.721660352960546
18,22,2,S4-20.jpg,0.811449448633353,0.725359182122019
18,23,2,S4-20.jpg,0.808727377271574,0.728585685993922
18,24,2,S4-20.jpg,0.815195044244712,0.727421564599551
18,25,2,S4-20.jpg,0.812888296505157,0.726197472158197
19,1,1,S1-15.jpg,0.634258305431455,0.534258305431454
19,2,1,S1-15.jpg,0.596357985683836,0.614759658408964
19,3,1,S1-15.jpg,0.683533972123939,0.659414494947073
