"subID","block","trial","targetName","targetIdx","response","accuracy","RT","respFrame","totalEv_signal1","targetEv_signal1","totalEv_signal2","targetEv_signal2","confidence","confRT","flickerDuration","coherence","noise1frames_design","signal1Onset_design","signal1frames_design","noise2Onset_design","noise2frames_design","signal2Onset_design","signal2frames_design","noise1frames_obs","signal1frames_obs","noise2frames_obs","signal2frames_obs","postFlickerResp","accuracyFactor","zlogRT"
"36",1,14,"S3-12.jpg","1",1,1,1.11680004099617,81,16,13,NA,NA,3,0.598965582998062,1.11885141599487,0.700951405885172,49,50,33,84,48,133,107,49,32,NA,NA,0,"1",-1.16129768272124
"36",1,15,"S4-20.jpg","2",2,1,1.01169745899824,73,0,0,NA,NA,3,0.649048500003119,1.0140091669964,0.670175219156544,75,76,46,123,51,175,65,73,NA,NA,NA,0,"1",-1.63724102544824
"36",1,16,"S4-20.jpg","2",2,1,1.29109670800244,92,14,10,NA,NA,4,0.504056582998601,1.29348695799854,0.670175219156544,48,49,30,80,78,159,81,48,30,13,NA,0,"1",-0.46294768734628
"36",1,17,"S3-12.jpg","1",1,1,1.67439133299922,121,16,12,NA,NA,3,1.20781983400229,1.6764517499978,0.700951405885172,60,61,34,96,46,143,97,60,34,26,NA,0,"1",0.788850601463801
"36",1,18,"S4-20.jpg","2",2,1,1.23589295800048,89,17,13,NA,NA,3,0.40997929200239,1.238300332996,0.670175219156544,55,56,34,91,88,180,60,55,34,NA,NA,0,"1",-0.673371983339588
"36",1,19,"S4-20.jpg","2",1,0,1.77787670800171,128,17,9,NA,NA,2,0.551639375000377,1.77988537499914,0.670175219156544,58,59,35,95,46,142,98,58,35,34,NA,0,"0",1.07763004057398
"36",1,20,"S4-20.jpg","2",2,1,1.58834412499709,115,18,13,NA,NA,4,0.38101629200537,1.59062991699466,0.670175219156544,79,80,37,118,51,170,70,79,36,NA,NA,0,"1",0.534801709388235
"36",1,21,"S4-20.jpg","2",1,0,1.255589124994,91,2,1,NA,NA,2,1.48669629199867,1.25799937499687,0.670175219156544,87,88,31,120,52,173,67,87,4,NA,NA,0,"0",-0.597235175515856
"36",1,22,"S3-12.jpg","1",1,1,1.35551662500075,98,15,10,NA,NA,4,0.480815334005456,1.3580887920034,0.700951405885172,53,54,30,85,57,143,97,53,30,14,NA,0,"1",-0.228483173399575
"36",1,23,"S4-20.jpg","2",1,0,1.41585854200093,102,16,10,NA,NA,2,2.36338562500168,1.41817574999732,0.670175219156544,70,71,39,111,81,193,47,70,32,NA,NA,0,"0",-0.0187562948695259
"36",1,24,"S3-12.jpg","1",2,0,1.15479395900184,84,5,5,NA,NA,3,0.949170208994474,1.15683208400151,0.700951405885172,74,75,33,109,55,165,75,74,10,NA,NA,0,"0",-1.00020139293007
"36",1,25,"S3-12.jpg","1",2,0,1.56510529099614,113,24,18,NA,NA,3,0.945750540995505,1.56725004100008,0.700951405885172,58,59,49,109,50,160,80,58,49,5,NA,0,"0",0.463827919868641
"36",1,26,"S3-12.jpg","1",2,0,1.69798741699924,123,15,10,NA,NA,4,1.14702054199734,1.70011170799989,0.700951405885172,56,57,32,90,52,143,97,56,32,34,NA,0,"0",0.856237015225275
"36",1,27,"S3-12.jpg","1",1,1,1.22729266600072,89,21,15,NA,NA,2,1.09446454200224,1.22929733299679,0.700951405885172,47,48,48,97,62,160,80,47,42,NA,NA,0,"1",-0.706998314669662
"36",1,28,"S4-20.jpg","2",2,1,1.33281725000415,96,19,12,NA,NA,4,1.46584916699794,1.33509691600193,0.670175219156544,47,48,38,87,47,135,105,47,38,10,NA,0,"1",-0.309804168417309
"36",1,29,"S3-12.jpg","1",2,0,1.54746745799639,112,25,16,NA,NA,4,0.876019124996674,1.54950712499704,0.700951405885172,62,63,60,124,60,185,55,62,50,NA,NA,0,"0",0.409253135113084
"36",1,30,"S4-20.jpg","2",2,1,1.46758587499789,106,22,11,NA,NA,4,1.77231379099976,1.46969579199504,0.670175219156544,48,49,45,95,50,146,94,48,45,12,NA,0,"1",0.1540329735216
"36",1,31,"S4-20.jpg","2",2,1,1.50085925000167,108,23,16,NA,NA,4,0.591932124996674,1.50287354200555,0.670175219156544,46,47,47,95,53,149,91,46,47,14,NA,0,"1",0.261989197790342
"36",1,32,"S4-20.jpg","2",2,1,1.50983916699624,109,16,13,NA,NA,3,0.433898583003611,1.5118877079949,0.670175219156544,56,57,33,91,68,160,80,56,33,19,NA,0,"1",0.290714726010141
"36",1,33,"S3-12.jpg","1",2,0,1.4128595000002,102,16,13,NA,NA,4,1.06552229199588,1.41526895800052,0.700951405885172,51,52,32,85,57,143,97,51,32,18,NA,0,"0",-0.0289669760921131
"36",1,34,"S3-12.jpg","1",1,1,1.58078291600395,114,16,12,NA,NA,3,1.67291616599687,1.58286558299733,0.700951405885172,63,64,32,97,79,177,63,63,32,18,NA,0,"1",0.511823611001631
"36",1,35,"S3-12.jpg","1",2,0,1.22010125000088,88,15,14,NA,NA,2,0.820950042005279,1.22241266700439,0.700951405885172,46,47,31,79,74,154,86,46,31,10,NA,0,"0",-0.735297468721943
"36",1,36,"S3-12.jpg","1",2,0,2.19491079199361,158,17,13,NA,NA,1,1.10775874999672,2.19709650000004,0.700951405885172,48,49,35,85,83,169,71,48,35,74,NA,0,"0",2.0923372665091
