cue,coherence,congruent,threshold,memoryThinning,noise1Frames,signal1Onsets,signal1Frames,noise2Onsets,noise2Frames,signal2Onsets,signal2Frames,signal1_vizEv,signal2_vizEv,rawChoice,forcedChoice,RT,startPoint1,startPoint2,subID,nTrial,nFrames,trialTarget
0.5,0.5395,1,5,12,83,84,28,112,80,192,441,0.964995258637827,-4.03920204746018,1,1,197,0.43812619583584,2.77539262654114,11,50,632,1
0.5,0.5395,1,5,12,82,83,32,115,78,193,440,7.26967831257311,2.33171112356963,1,1,133,-0.245822494576331,7.9322180460849,11,50,632,1
0.5,0.5395,1,5,12,76,77,45,122,84,206,427,2.7280930685652,5.68992976754496,1,1,455,-2.54227665056544,0.874084173933489,11,50,632,1
0.5,0.5395,1,5,12,83,84,54,138,79,217,416,3.18657977594525,0.148634258171426,1,1,111,3.66876700891094,4.46584694006513,11,50,632,1
0.5,0.5395,1,5,12,106,107,36,143,75,218,415,-3.53644821792286,13.1678819408959,0,0,217,0.43071891857565,-5.10657607711491,11,50,632,1
0.5,0.5395,1,5,12,78,79,52,131,82,213,420,-0.310791971863646,45.6801548631457,1,1,243,-0.156379900835582,0.604258892829171,11,50,632,1
0.5,0.5395,1,5,12,88,89,23,112,99,211,422,-4.24885353782349,33.5508508525531,1,1,91,3.63951716112229,2.6987128636409,11,50,632,1
0.5,0.5395,1,5,12,100,101,47,148,88,236,397,-0.25382350185705,9.27114584187843,1,1,249,2.63287792298379,3.33414089663901,11,50,632,1
0.5,0.5395,1,5,12,105,106,41,147,93,240,393,1.03281342178043,22.3907566038865,1,1,313,0.33221549416741,3.73442965139526,11,50,632,1
0.5,0.5395,1,5,12,97,98,28,126,76,202,431,-0.57604030428842,-13.9168644085678,0,0,193,-2.56578818526049,-5.34358498131798,11,50,632,1
0.5,0.5395,1,5,12,93,94,26,120,79,199,434,-2.81641565779537,29.7808502482748,0,0,283,2.36488360597923,0.414354997175619,11,50,632,1
0.5,0.5395,1,5,12,77,78,25,103,105,208,425,2.42341056065646,7.97242845541688,1,1,221,-0.642022039616826,1.2623209034148,11,50,632,1
0.5,0.5395,1,5,12,92,93,53,146,75,221,412,10.2714617451486,-8.9841214077533,1,1,105,1.36431806248954,2.88925566592672,11,50,632,1
0.5,0.5395,1,5,12,80,81,31,112,77,189,444,-6.78053388476327,15.5668961205405,0,0,239,0.656985563141093,-3.39871336542375,11,50,632,1
0.5,0.5395,1,5,12,75,76,23,99,81,180,453,1.96893513832207,3.05796987198524,1,1,243,0.902950282804907,2.44799011688743,11,50,632,1
0.5,0.5395,1,5,12,101,102,33,135,92,227,406,-3.14342839519903,18.3593952717376,0,0,129,-2.58365299137184,-3.45423091071126,11,50,632,1
0.5,0.5395,1,5,12,104,105,23,128,82,210,423,2.13655142671822,16.4538582846872,1,1,157,3.249807164674,6.58863572716101,11,50,632,1
0.5,0.5395,1,5,12,84,85,37,122,85,207,426,2.76412588881977,11.6391065587505,1,1,239,1.13287355929626,4.27920126026404,11,50,632,1
0.5,0.5395,1,5,12,75,76,30,106,75,181,452,-3.24826609998685,24.1980777274861,1,1,239,-0.49951106326135,-0.793551753858456,11,50,632,1
0.5,0.5395,1,5,12,107,108,44,152,78,230,403,8.61846147231335,23.5422957686689,1,1,137,-3.82693905984583,4.04594494060529,11,50,632,1
0.5,0.5395,1,5,12,78,79,38,117,104,221,412,0.253335493668654,36.2492970092625,1,1,107,1.05990059071032,1.55096109769503,11,50,632,1
0.5,0.5395,1,5,12,85,86,51,137,96,233,400,-1.5474876520219,25.0664374034292,1,1,349,0.621255235387014,2.68923453313275,11,50,632,1
0.5,0.5395,1,5,12,102,103,39,142,81,223,410,-4.66701803661171,12.9853468524537,0,0,133,-0.465058631688211,-3.17999512541449,11,50,632,1
0.5,0.5395,1,5,12,95,96,23,119,75,194,439,-4.79071968168621,18.3661838866404,1,1,277,0.463943688505438,-3.32307046524474,11,50,632,1
