subID,block,trial,image,imageIdx,cue,congruent,response,accuracy,RT,cueDuration,learningRound
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.8140, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 1, 1, 0.7216, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5978, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 2, 0, 1.0023, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.4662, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5589, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7285, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7585, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.7622, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3583, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.2848, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 1, 1, 0.6765, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.4616, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3870, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3918, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4691, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.9125, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.5131, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6556, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.2997, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, NaN, 0, NaN, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, NaN, 0, NaN, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, NaN, 0, NaN, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, NaN, 0, NaN, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, NaN, 0, NaN, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, NaN, 0, NaN, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, NaN, 0, NaN, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, NaN, 0, NaN, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, NaN, 0, NaN, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, NaN, 0, NaN, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7137, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.7891, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, NaN, 0, NaN, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 2, 0, 1.0380, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.9102, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6595, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.5808, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 1.2117, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.0003, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 1.6165, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.5117, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 2, 0, 2.2831, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 1, 1, 1.7330, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3155, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5119, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.8770, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.7838, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.8330, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.5995, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.7000, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.4063, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.6758, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 1, 1, 1.1091, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 1.0568, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 1.0581, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.7132, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.7338, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.4989, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.6856, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, NaN, 0, NaN, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, NaN, 0, NaN, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, NaN, 0, NaN, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5988, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5395, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.7956, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 1.0882, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.7859, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 1.0955, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.4596, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.8794, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.5973, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 2, 0, 2.6327, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 1, 1, 1.8830, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3059, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3426, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.9398, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.8716, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 1.2003, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.7906, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.8514, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.9169, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5298, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.3872, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.2956, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.3205, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.3434, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 2, 1, 1.1965, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.3294, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.2511, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5156, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5824, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.8659, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.8373, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.6985, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.8105, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5351, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7602, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.4545, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.6276, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5835, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.6465, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.7253, 1.5333, 2
