subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_cue_fitted,B_cue_min,B_cue_max,B_neut_fitted,B_neut_min,B_neut_max
54,4drift_congIncong_2bound,444.90830190093027,condition_80cue,358,13,1.2327184717053865,0.0,10.0,0.9968261488470855,0.0,10.0,2.7953144075495735,0.0,10.0,0.0,0.0,10.0,3.8255165342357507,0.0,10.0,0.0,0.0,10.0,3.910739126578807,0.0,10.0,0.11070949574920251,0.0,10.0,6.085206929490446,0.0,10.0,10.0,0.0,10.0,7.404997228716268,0.0,10.0,4.625305527759808,0.5,12.0,5.42441971948829,0.5,12.0
55,4drift_congIncong_2bound,1304.9011339258136,condition_65cue,376,13,0.924507540506235,0.0,10.0,2.93144397450187,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.5226079929375105,0.0,10.0,0.41070387500353606,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.976374666824785,0.0,10.0,4.812325098452425,0.0,10.0,5.199973225756831,0.0,10.0,3.199377277873422,0.5,12.0,4.7717888289231905,0.5,12.0
56,4drift_congIncong_2bound,705.9299385971466,condition_65cue,376,13,0.0,0.0,10.0,1.3928457034419972,0.0,10.0,0.24858738772875333,0.0,10.0,0.0,0.0,10.0,0.9443674693728037,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,2.7796235246523944,0.0,10.0,0.1420761686034459,0.0,10.0,0.0,0.0,10.0,9.18287807075011,0.0,10.0,1.1490616807276322,0.5,12.0,3.641402819773776,0.5,12.0
57,4drift_congIncong_2bound,727.78371029727,condition_65cue,377,13,1.5534637907060405,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.059241863728571195,0.0,10.0,0.0,0.0,10.0,0.8671283789344989,0.0,10.0,1.085596411589097,0.0,10.0,0.0,0.0,10.0,5.819489055348747,0.0,10.0,5.131290142526626,0.0,10.0,0.0,0.0,10.0,2.9575022917533484,0.5,12.0,1.3576774104210374,0.5,12.0
58,4drift_congIncong_2bound,853.4760420045794,condition_65cue,367,13,0.007197217275087764,0.0,10.0,2.15577009007411,0.0,10.0,0.08115969467379354,0.0,10.0,0.010512614297045997,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0045528676779360636,0.0,10.0,0.1349248447207882,0.0,10.0,6.543961502108789,0.0,10.0,1.589166681039612,0.5,12.0,4.327223260861606,0.5,12.0
59,4drift_congIncong_2bound,766.7133186681463,condition_65cue,376,13,1.8507425223353458,0.0,10.0,0.0,0.0,10.0,3.901326425440677,0.0,10.0,1.32783698343704,0.0,10.0,5.214617692835329,0.0,10.0,0.4557708425189782,0.0,10.0,0.043443557276035556,0.0,10.0,0.0,0.0,10.0,7.877457218153006,0.0,10.0,9.036289546266914,0.0,10.0,9.063170729213722,0.0,10.0,5.30164424479308,0.5,12.0,4.975335949752081,0.5,12.0
60,4drift_congIncong_2bound,635.8583843008408,condition_65cue,374,13,0.14293423715643988,0.0,10.0,0.10622369955402036,0.0,10.0,0.0845509986241914,0.0,10.0,0.07974193647379557,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.1817667612101643,0.0,10.0,0.522722825488553,0.0,10.0,0.39409315034501163,0.0,10.0,1.308052380901712,0.5,12.0,1.2032230278877885,0.5,12.0
61,4drift_congIncong_2bound,1053.4510317585389,condition_65cue,373,13,2.5695262948088127,0.0,10.0,3.471629746648807,0.0,10.0,0.6689798851631157,0.0,10.0,0.0005607826659619436,0.0,10.0,5.655181053871033,0.0,10.0,0.29562215853801366,0.0,10.0,1.0246186045249999,0.0,10.0,1.3874650662666241,0.0,10.0,5.03614211301777,0.0,10.0,5.2258111391788935,0.0,10.0,5.9440060704185065,0.0,10.0,5.09261303137428,0.5,12.0,9.492939489048405,0.5,12.0
62,4drift_congIncong_2bound,577.002026704707,condition_65cue,378,13,0.0,0.0,10.0,4.692899069106459,0.0,10.0,0.4426311045172495,0.0,10.0,0.0,0.0,10.0,2.9501500022918403,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.3368151653528923,0.0,10.0,3.7947957483950256,0.0,10.0,0.0,0.0,10.0,5.629805648569714,0.0,10.0,1.9575529001022671,0.5,12.0,7.943293065161017,0.5,12.0
63,4drift_congIncong_2bound,846.9709492707343,condition_65cue,356,13,0.933688479221919,0.0,10.0,0.0,0.0,10.0,4.576758361485635,0.0,10.0,0.2661071644499074,0.0,10.0,6.1423453436375235,0.0,10.0,0.0,0.0,10.0,3.453252372728028,0.0,10.0,2.554317020309693,0.0,10.0,5.8368322027744375,0.0,10.0,5.514340126099308,0.0,10.0,5.931467098333546,0.0,10.0,9.188505798808396,0.5,12.0,11.327615730975204,0.5,12.0
64,4drift_congIncong_2bound,877.5824238193435,condition_65cue,375,13,0.32942745584482924,0.0,10.0,6.1415578509897335,0.0,10.0,4.08731646516377,0.0,10.0,4.0433947196555655,0.0,10.0,4.51056019544488,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.566896442686887,0.0,10.0,5.206838156249429,0.0,10.0,8.650906254628604,0.0,10.0,4.293329375428209,0.5,12.0,9.101845092638602,0.5,12.0
65,4drift_congIncong_2bound,619.7848115527439,condition_65cue,378,13,0.6722312159350896,0.0,10.0,0.4114928387026261,0.0,10.0,6.86740418608557,0.0,10.0,4.964040183489358,0.0,10.0,7.312679969872185,0.0,10.0,0.0,0.0,10.0,8.835427218172667,0.0,10.0,4.381695310513775,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,9.604013724259591,0.0,10.0,6.247054928159881,0.5,12.0,6.3139780490366455,0.5,12.0
66,4drift_congIncong_2bound,752.6060713244167,condition_65cue,378,13,0.0,0.0,10.0,3.139053498270911,0.0,10.0,0.10151475424170339,0.0,10.0,0.0,0.0,10.0,0.9521428562394838,0.0,10.0,0.32925216573845933,0.0,10.0,0.0,0.0,10.0,0.43700758261093986,0.0,10.0,1.0210557976288903,0.0,10.0,0.0,0.0,10.0,6.043835564763825,0.0,10.0,1.504158397508676,0.5,12.0,4.704378805040294,0.5,12.0
67,4drift_congIncong_2bound,934.4215704003092,condition_65cue,342,13,1.3408261828103771,0.0,10.0,1.1432112713587754,0.0,10.0,3.80306445113679,0.0,10.0,0.0,0.0,10.0,5.109285839256734,0.0,10.0,0.0,0.0,10.0,1.5851163791545981,0.0,10.0,0.0,0.0,10.0,4.52649878055317,0.0,10.0,6.538249506286853,0.0,10.0,4.420370680155119,0.0,10.0,7.625144315255412,0.5,12.0,8.202588131653211,0.5,12.0
68,4drift_congIncong_2bound,749.5008559254369,condition_65cue,377,13,0.8328959699405977,0.0,10.0,2.5628523694455,0.0,10.0,1.1047458905780123,0.0,10.0,0.9515794394645796,0.0,10.0,1.6186717289548187,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.950088948105162,0.0,10.0,5.293775479461371,0.0,10.0,5.880770991848261,0.0,10.0,2.641037194396798,0.5,12.0,5.2196294798692735,0.5,12.0
69,4drift_congIncong_2bound,557.8531646803699,condition_65cue,378,13,0.0,0.0,10.0,4.4644520603886315,0.0,10.0,0.11363523068607767,0.0,10.0,0.3826808733473895,0.0,10.0,0.5649012985115287,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.944027119904119,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.763797236783844,0.0,10.0,1.0157876006365676,0.5,12.0,4.519559436575687,0.5,12.0
70,4drift_congIncong_2bound,706.3810138812801,condition_65cue,378,13,0.0,0.0,10.0,0.039645818489162966,0.0,10.0,0.3440369904981442,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.06920164405322964,0.0,10.0,0.0,0.0,10.0,0.5061084074425013,0.0,10.0,0.1575020212584299,0.0,10.0,0.17952060002880707,0.0,10.0,0.37951269917709896,0.0,10.0,1.054245032649579,0.5,12.0,1.0731587039790718,0.5,12.0
71,4drift_congIncong_2bound,433.2442740545452,condition_65cue,376,13,0.0,0.0,10.0,1.553246967463271,0.0,10.0,0.7976247165646096,0.0,10.0,0.0,0.0,10.0,2.5937366286629424,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.542447554787662,0.0,10.0,0.0,0.0,10.0,6.7831062037794645,0.0,10.0,1.8888794677281924,0.5,12.0,4.727791224135361,0.5,12.0
72,4drift_congIncong_2bound,910.4284779947196,condition_65cue,378,13,1.6952684426243223,0.0,10.0,3.7405720262546516,0.0,10.0,2.717330569570083,0.0,10.0,2.477713892741087,0.0,10.0,2.716880008458985,0.0,10.0,1.7133643775543808,0.0,10.0,1.5012025128443451,0.0,10.0,0.5035745476392308,0.0,10.0,7.603171101660996,0.0,10.0,6.356859566327238,0.0,10.0,8.335481168172592,0.0,10.0,4.73932676818177,0.5,12.0,6.551179722830585,0.5,12.0
73,4drift_congIncong_2bound,719.042085647771,condition_65cue,378,13,0.7374457123476365,0.0,10.0,2.5253206671978203,0.0,10.0,4.317967807143794,0.0,10.0,4.752657288886948,0.0,10.0,5.840727875060669,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,8.289067961430897,0.0,10.0,8.023033187340223,0.0,10.0,8.52411588192922,0.0,10.0,4.79748917066477,0.5,12.0,7.1921898546022405,0.5,12.0
75,4drift_congIncong_2bound,946.3891024837908,condition_65cue,340,13,2.3577681134639152,0.0,10.0,2.7417304091842354,0.0,10.0,4.321579864627525,0.0,10.0,4.010326590639099,0.0,10.0,7.642600379851811,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.656716685233665,0.0,10.0,4.660134336881096,0.0,10.0,5.960567682627403,0.0,10.0,7.834018845536283,0.5,12.0,10.910471727310291,0.5,12.0
76,4drift_congIncong_2bound,1130.5494792253924,condition_65cue,373,13,3.632386134984309,0.0,10.0,2.543964415413901,0.0,10.0,2.8784350316669034,0.0,10.0,2.7128678717159547,0.0,10.0,5.499033328969779,0.0,10.0,0.0,0.0,10.0,2.0958245294319116,0.0,10.0,2.5457541224206333,0.0,10.0,5.079318414209497,0.0,10.0,4.390195682892649,0.0,10.0,5.082023143554698,0.0,10.0,8.973150538608913,0.5,12.0,11.032031014640244,0.5,12.0
77,4drift_congIncong_2bound,480.27469977898005,condition_65cue,377,13,0.0,0.0,10.0,3.2668550483325953,0.0,10.0,0.5192657130641217,0.0,10.0,0.0,0.0,10.0,3.237837615904049,0.0,10.0,0.0,0.0,10.0,0.19426599573543235,0.0,10.0,0.0,0.0,10.0,4.64447882643614,0.0,10.0,0.0,0.0,10.0,8.003882451269929,0.0,10.0,1.7237225583638587,0.5,12.0,6.488870524876856,0.5,12.0
