subID,model,loss,condition,sample_size,n_params,drift_cued_fitted,drift_cued_min,drift_cued_max,drift_neut_fitted,drift_neut_min,drift_neut_max,B_fitted,B_min,B_max,a_fitted,a_min,a_max,b_fitted,b_min,b_max,a50_fitted,a50_min,a50_max,b50_fitted,b50_min,b50_max
53,startPoint_uniform_wDrift,645.683407911007,condition_80cue,412,7,0.05961239682084051,0.0,10.0,0.13563157926558397,0.0,10.0,4.033121720261882,0.25,12.0,0.03758511625261973,-0.5,0.5,0.48310175133057326,0.01,0.49,0.08466807637030471,-0.5,0.5,0.4167241221466267,0.01,0.49
54,startPoint_uniform_wDrift,542.4952441299163,condition_80cue,392,7,7.055717105541496,0.0,10.0,7.8300346859023415,0.0,10.0,5.274901300970901,0.25,12.0,0.4320093616384464,-0.5,0.5,0.25879481449225245,0.01,0.49,-0.14016004104735869,-0.5,0.5,0.312316532300226,0.01,0.49
55,startPoint_uniform_wDrift,769.4776808027922,condition_65cue,416,7,0.0,0.0,10.0,0.021683477869120223,0.0,10.0,2.3938598662033024,0.25,12.0,-0.1040802645864613,-0.5,0.5,0.11155431568917487,0.01,0.49,-0.35205042187602,-0.5,0.5,0.3269470358860347,0.01,0.49
56,startPoint_uniform_wDrift,693.5248991313523,condition_65cue,416,7,0.049310791175142255,0.0,10.0,0.0,0.0,10.0,1.230022558051525,0.25,12.0,-0.06373385372869977,-0.5,0.5,0.02001994972082687,0.01,0.49,-0.10119893763945353,-0.5,0.5,0.14746786792173114,0.01,0.49
57,startPoint_uniform_wDrift,705.4161947194299,condition_65cue,416,7,0.7383523925104328,0.0,10.0,0.0,0.0,10.0,1.392947165114979,0.25,12.0,0.07746104722275271,-0.5,0.5,0.06677764665138895,0.01,0.49,-0.24413868252593107,-0.5,0.5,0.2905777570001698,0.01,0.49
58,startPoint_uniform_wDrift,766.7254371737605,condition_65cue,406,7,0.010578519690141012,0.0,10.0,0.07407832769619145,0.0,10.0,2.32152011506025,0.25,12.0,-0.009841207032890487,-0.5,0.5,0.05356008133776429,0.01,0.49,0.14609967314357464,-0.5,0.5,0.1122821905710185,0.01,0.49
59,startPoint_uniform_wDrift,679.1945022105295,condition_65cue,416,7,0.2322766887382507,0.0,10.0,3.52800885448311,0.0,10.0,1.7970898076752064,0.25,12.0,-0.055689552573250034,-0.5,0.5,0.3438847662065774,0.01,0.49,-0.375807274641688,-0.5,0.5,0.12534810819619008,0.01,0.49
60,startPoint_uniform_wDrift,705.7130313129048,condition_65cue,414,7,0.6402080811486197,0.0,10.0,0.15341410004504102,0.0,10.0,1.3601373142224809,0.25,12.0,0.027138788909809586,-0.5,0.5,0.13096590277313913,0.01,0.49,-0.13158468882559587,-0.5,0.5,0.35796220156615,0.01,0.49
61,startPoint_uniform_wDrift,739.943367987715,condition_65cue,413,7,0.020338025367890148,0.0,10.0,0.0,0.0,10.0,2.789987251130723,0.25,12.0,0.07411073786601996,-0.5,0.5,0.16069883022471596,0.01,0.49,0.06661406278847815,-0.5,0.5,0.13266414951027491,0.01,0.49
62,startPoint_uniform_wDrift,668.89684672156,condition_65cue,417,7,0.05459509671224456,0.0,10.0,4.650171100362937,0.0,10.0,2.722704412879868,0.25,12.0,0.2293293490120908,-0.5,0.5,0.46586229955436687,0.01,0.49,-0.4445007704976668,-0.5,0.5,0.04511050772104197,0.01,0.49
63,startPoint_uniform_wDrift,523.0969542987307,condition_65cue,394,7,0.05778486463064253,0.0,10.0,0.2605781087743365,0.0,10.0,4.991982705870905,0.25,12.0,0.05960219312512405,-0.5,0.5,0.48433117452581,0.01,0.49,-0.09040243331572179,-0.5,0.5,0.3091534038632097,0.01,0.49
64,startPoint_uniform_wDrift,719.6376583068175,condition_65cue,414,7,0.10657502285450748,0.0,10.0,0.34302002152073147,0.0,10.0,2.0752049044628214,0.25,12.0,0.019863076474087138,-0.5,0.5,0.4824098500438846,0.01,0.49,0.05418014709201946,-0.5,0.5,0.34555139832361687,0.01,0.49
65,startPoint_uniform_wDrift,628.3793499904073,condition_65cue,418,7,0.13415817223949178,0.0,10.0,4.982552477844125,0.0,10.0,2.1703778210860007,0.25,12.0,0.11630128588814836,-0.5,0.5,0.48481609468506387,0.01,0.49,-0.4639602337297597,-0.5,0.5,0.14668178299593085,0.01,0.49
66,startPoint_uniform_wDrift,755.3592875685847,condition_65cue,418,7,0.1427628314642269,0.0,10.0,0.30233235156187444,0.0,10.0,1.9020511993666522,0.25,12.0,0.07503475468941179,-0.5,0.5,0.051694587638471914,0.01,0.49,0.005334493045444422,-0.5,0.5,0.29463908096715025,0.01,0.49
67,startPoint_uniform_wDrift,538.9594577928231,condition_65cue,377,7,0.07245467720137791,0.0,10.0,0.23323434505481971,0.0,10.0,4.608769996837465,0.25,12.0,-0.08016094176793853,-0.5,0.5,0.48683439280033103,0.01,0.49,0.1386676040632524,-0.5,0.5,0.11085752359307995,0.01,0.49
68,startPoint_uniform_wDrift,719.3264443053973,condition_65cue,417,7,0.43033239323746864,0.0,10.0,0.584891902683859,0.0,10.0,1.8157244547459541,0.25,12.0,0.17944811959219265,-0.5,0.5,0.1464591140263411,0.01,0.49,-0.008792687863653892,-0.5,0.5,0.11045458400630026,0.01,0.49
69,startPoint_uniform_wDrift,539.7703776682426,condition_65cue,418,7,0.0012595389891560953,0.0,10.0,0.34836696961476515,0.0,10.0,0.9930171519121513,0.25,12.0,-0.00602331772767406,-0.5,0.5,0.01602328339184789,0.01,0.49,-0.032055634019160006,-0.5,0.5,0.0946063159775371,0.01,0.49
70,startPoint_uniform_wDrift,777.6416595234161,condition_65cue,418,7,0.21943032227654874,0.0,10.0,0.035998723148024186,0.0,10.0,1.074520465424225,0.25,12.0,-0.00543242053728632,-0.5,0.5,0.09513640512087265,0.01,0.49,-0.02792711466030967,-0.5,0.5,0.10178653257312772,0.01,0.49
71,startPoint_uniform_wDrift,635.0754619186066,condition_65cue,415,7,0.07919249526552072,0.0,10.0,4.44881656416008,0.0,10.0,2.3448932922507733,0.25,12.0,0.03551652515081816,-0.5,0.5,0.4876891523594169,0.01,0.49,-0.3666597978534891,-0.5,0.5,0.08799283698760395,0.01,0.49
72,startPoint_uniform_wDrift,722.1319892460606,condition_65cue,418,7,0.11861558775707123,0.0,10.0,0.540453938319923,0.0,10.0,1.867116488404637,0.25,12.0,-0.01775534088288777,-0.5,0.5,0.17311292606819967,0.01,0.49,0.06179401867289824,-0.5,0.5,0.13311204398838322,0.01,0.49
73,startPoint_uniform_wDrift,673.2274120191533,condition_65cue,418,7,0.19210164004264252,0.0,10.0,4.853714663036425,0.0,10.0,2.109489401946715,0.25,12.0,0.02078352854280463,-0.5,0.5,0.4892739251799522,0.01,0.49,-0.46741936142662766,-0.5,0.5,0.05151979659770917,0.01,0.49
75,startPoint_uniform_wDrift,621.3206642156076,condition_65cue,379,7,0.14732996462949857,0.0,10.0,0.19287340837042127,0.0,10.0,3.6331289730571807,0.25,12.0,-0.1531399965742486,-0.5,0.5,0.48604427788039684,0.01,0.49,0.12991272577314927,-0.5,0.5,0.0972429021745533,0.01,0.49
76,startPoint_uniform_wDrift,648.3215139172579,condition_65cue,413,7,0.022345822841965526,0.0,10.0,0.03618921654980311,0.0,10.0,4.079947917074257,0.25,12.0,0.03318444175003765,-0.5,0.5,0.4563567482764545,0.01,0.49,-0.19747692359904517,-0.5,0.5,0.11395140218662128,0.01,0.49
