subID,model,loss,condition,sample_size,n_params,noise1_fitted,noise1_min,noise1_max,noise1_50_fitted,noise1_50_min,noise1_50_max,signal1_fitted,signal1_min,signal1_max,signal1_50_fitted,signal1_50_min,signal1_50_max,noise2_fitted,noise2_min,noise2_max,noise2_50_fitted,noise2_50_min,noise2_50_max,noise2_shortS1_fitted,noise2_shortS1_min,noise2_shortS1_max,noise2_50_shortS1_fitted,noise2_50_shortS1_min,noise2_50_shortS1_max,signal2_fitted,signal2_min,signal2_max,signal2_50_fitted,signal2_50_min,signal2_50_max,B_fitted,B_min,B_max
67,unknown_model,938.4887645788015,condition_65cue,342,11,1.6047362395668345,0.0,10.0,0.6035903068817922,0.0,10.0,3.2110711228604987,0.0,10.0,4.8101834222806925,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.680040759369258,0.0,10.0,4.373400040868115,0.0,10.0,7.5461761895988655,0.5,12.0
68,unknown_model,749.8008096474621,condition_65cue,377,11,1.8990709972450992,0.0,10.0,0.708255708168891,0.0,10.0,1.2896379893088563,0.0,10.0,1.255527352761371,0.0,10.0,0.0,0.0,10.0,1.9513325688011345,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,5.581038422977413,0.0,10.0,5.6351791640767255,0.0,10.0,3.614357530927095,0.5,12.0
69,unknown_model,488.06063315685225,condition_65cue,378,11,0.0,0.0,10.0,0.0,0.0,10.0,0.19872199124052575,0.0,10.0,0.0,0.0,10.0,4.6428918190844515,0.0,10.0,3.345520990077821,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.5650488889778856,0.0,10.0,0.975909967302913,0.5,12.0
70,unknown_model,707.475903092681,condition_65cue,378,11,0.0,0.0,10.0,0.03825441764783442,0.0,10.0,0.14313737056876677,0.0,10.0,0.0,0.0,10.0,0.12663093608136175,0.0,10.0,0.0,0.0,10.0,0.04909444996785912,0.0,10.0,0.7857604609578263,0.0,10.0,0.1726771481917734,0.0,10.0,0.3855684829042136,0.0,10.0,1.07956635333771,0.5,12.0
71,unknown_model,770.5558400659512,condition_65cue,376,11,0.39712857834484006,0.0,10.0,0.6716222886761943,0.0,10.0,2.5936213771853374,0.0,10.0,2.3232800416527604,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,6.571695851612367,0.0,10.0,6.33065269893121,0.0,10.0,3.7946231758239377,0.5,12.0
72,unknown_model,911.5422076201673,condition_65cue,378,11,2.100768779296756,0.0,10.0,2.301700762611891,0.0,10.0,2.7687087668008674,0.0,10.0,2.145369845001047,0.0,10.0,2.5997321072081916,0.0,10.0,2.7749596403511925,0.0,10.0,1.6792339038422517,0.0,10.0,0.0,0.0,10.0,7.184449837950316,0.0,10.0,7.994348553089666,0.0,10.0,5.086878652635016,0.5,12.0
73,unknown_model,716.8744522928802,condition_65cue,378,11,0.7538533113682855,0.0,10.0,0.13868948473093615,0.0,10.0,4.388805350291469,0.0,10.0,4.883603065723541,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.3763348211104888,0.0,10.0,8.245491486886905,0.0,10.0,7.998580136003883,0.0,10.0,4.819808781357935,0.5,12.0
75,unknown_model,943.118668269123,condition_65cue,340,11,2.112106816377976,0.0,10.0,0.16237474875066407,0.0,10.0,4.207222398521458,0.0,10.0,5.94583553477436,0.0,10.0,0.0,0.0,10.0,0.05178370571474745,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.62690599926922,0.0,10.0,5.528710951992123,0.0,10.0,7.579783818744668,0.5,12.0
76,unknown_model,1135.7124187469242,condition_65cue,373,11,4.487776401418827,0.0,10.0,2.2176585088149205,0.0,10.0,1.4310173193862799,0.0,10.0,2.8262377532750045,0.0,10.0,1.2342395097795247,0.0,10.0,2.788178533741864,0.0,10.0,0.21181110778732729,0.0,10.0,1.763965215335608,0.0,10.0,4.921806478669535,0.0,10.0,5.010438960366926,0.0,10.0,8.811262175996184,0.5,12.0
77,unknown_model,745.5871898971511,condition_65cue,377,11,4.077647871663452,0.0,10.0,3.649540912345031,0.0,10.0,2.8590862176644056,0.0,10.0,3.3008018255878646,0.0,10.0,5.27756577753432,0.0,10.0,0.0,0.0,10.0,0.03432233779776209,0.0,10.0,0.0,0.0,10.0,8.100527784364132,0.0,10.0,8.134106211232096,0.0,10.0,6.859475806997153,0.5,12.0
