"subID","block","trial","targetImage","targetIdx","coherence","staircase","respFrame","response","accuracy","RT","flickerDuration","accuracyFactor","zlogRT"
"70",1,43," S3-12.jpg",2,0.716,1,158,2,1,2.2965,2.2988,"1",1.34352415349488
"70",1,44," S4-20.jpg",1,0.5684,2,123,1,1,1.8406,1.843,"1",0.766707656361667
"70",1,45," S4-20.jpg",1,0.7631,1,57,1,1,0.8925,0.8948,"1",-1.11996962488288
"70",1,46," S3-12.jpg",2,0.7195,2,57,2,1,0.9117,0.9137,"1",-1.06449047987717
"70",1,47," S3-12.jpg",2,0.705,1,126,1,0,1.8816,1.8844,"0",0.824132329415724
"70",1,48," S4-20.jpg",1,0.5511,2,63,1,1,1.0156,1.0176,"1",-0.783181048237643
"70",1,49," S4-20.jpg",1,0.7455,1,58,1,1,0.9345,0.9365,"1",-1.00010691869958
"70",1,50," S3-12.jpg",2,0.7109,2,85,2,1,1.2766,1.279,"1",-0.187008006893061
"70",1,51," S3-12.jpg",2,0.7291,1,148,2,1,2.1904,2.1928,"1",1.22022878181433
"70",1,52," S3-12.jpg",2,0.7018,2,93,1,0,1.7096,1.712,"0",0.574260050555042
"70",1,53," S3-12.jpg",2,0.7183,1,126,2,1,1.891,1.8931,"1",0.83712160126064
"70",1,54," S4-20.jpg",1,0.5358,2,84,1,1,1.2773,1.2796,"1",-0.185579142621823
"70",1,55," S4-20.jpg",1,0.7287,1,79,1,1,1.2128,1.2151,"1",-0.32064229988154
"70",1,56," S4-20.jpg",1,0.522,2,116,2,0,1.7422,1.7445,"0",0.623495930337172
"70",1,57," S4-20.jpg",1,0.7132,1,46,1,1,0.7763,0.7786,"1",-1.48355132520325
"70",1,58," S4-20.jpg",1,0.5527,2,52,1,1,0.8619,0.8643,"1",-1.21090516859069
"70",1,59," S3-12.jpg",2,0.7084,1,121,2,1,1.7997,1.8018,"1",0.708134150181044
"70",1,60," S4-20.jpg",1,0.5391,2,58,1,1,0.9136,0.9163,"1",-1.05906402347552
"70",1,61," S4-20.jpg",1,0.6991,1,229,1,1,3.3084,3.3107,"1",2.29512108531895
"70",1,62," S3-12.jpg",2,0.7232,2,92,2,1,1.4073,1.4093,"1",0.0670598538036058
"70",1,63," S3-12.jpg",2,0.6992,1,237,1,0,3.4349,3.4373,"0",2.39292715580537
"70",1,64," S4-20.jpg",1,0.5269,2,156,1,1,2.2944,2.2969,"1",1.34113953830475
"70",1,65," S4-20.jpg",1,0.686,1,46,1,1,0.7669,0.7692,"1",-1.51530601132604
"70",1,66," S4-20.jpg",1,0.5158,2,88,1,1,1.3533,1.3556,"1",-0.0349265999740699
"70",1,67," S3-12.jpg",2,0.7202,1,92,1,0,1.3915,1.3939,"0",0.0376300986200529
"70",1,68," S3-12.jpg",2,0.7157,2,86,2,1,1.3248,1.3271,"1",-0.0904059392056275
"70",1,69," S4-20.jpg",1,0.674,1,93,1,1,1.4039,1.4062,"1",0.0607548667565028
"70",1,70," S3-12.jpg",2,0.7078,2,87,2,1,1.3232,1.3252,"1",-0.0935558544538168
"70",1,71," S3-12.jpg",2,0.7428,1,89,1,0,1.356,1.3584,"0",-0.0297313837805016
"70",1,72," S4-20.jpg",1,0.5059,2,0,NA,0,NA,3.4853,"0",NA
"70",1,73," S4-20.jpg",1,0.663,1,39,1,1,0.6866,0.6894,"1",-1.80360276208898
"70",1,74," S3-12.jpg",2,0.6995,2,24,2,1,0.4284,0.4363,"1",-3.0331003182356
"70",1,75," S4-20.jpg",1,0.6528,1,60,1,1,0.9772,0.9796,"1",-0.883646810791692
"70",1,76," S3-12.jpg",2,0.6911,2,103,2,1,1.5467,1.549,"1",0.313250635908899
"70",1,77," S4-20.jpg",1,0.6432,1,72,1,1,1.1387,1.1411,"1",-0.484971163273534
"70",1,78," S3-12.jpg",2,0.6827,2,128,2,1,1.8898,1.8921,"1",0.835466996115787
"70",1,79," S3-12.jpg",2,0.7668,1,79,2,1,1.2264,1.2287,"1",-0.29157579509698
"70",1,80," S4-20.jpg",1,0.529,2,138,1,1,2.0327,2.0345,"1",1.025469066801
"71",1,1," S1-15.jpg",1,0.7343,1,0,NA,0,NA,3.318,"0",NA
"71",1,2," S1-15.jpg",1,0.5843,2,62,2,0,0.9801,0.9828,"0",-0.0329415014465087
"71",1,3," S1-15.jpg",1,0.8148,1,71,2,0,1.1268,1.1301,"0",0.445808724309949
"71",1,4," S2-19.jpg",2,0.5843,2,62,1,0,1.0081,1.011,"0",0.0637406180533486
"71",1,5," S2-19.jpg",2,0.7343,1,76,1,0,1.1937,1.1968,"0",0.643771893990186
"71",1,6," S2-19.jpg",2,0.6648,2,68,2,1,1.0833,1.0874,"1",0.310678371830993
"71",1,7," S2-19.jpg",2,0.8148,1,46,2,1,0.7668,0.7703,"1",-0.875334316541614
"71",1,8," S2-19.jpg",2,0.6434,2,57,1,0,0.9324,0.9343,"0",-0.204189892092826
"71",1,9," S2-19.jpg",2,0.7934,1,52,2,1,0.8777,0.8804,"1",-0.411698681703479
"71",1,10," S1-15.jpg",1,0.6648,2,35,1,1,0.6256,0.6286,"1",-1.57386507656578
"71",1,11," S1-15.jpg",1,0.8594,1,50,1,1,0.8665,0.8684,"1",-0.455779251150446
"71",1,12," S2-19.jpg",2,0.6929,2,55,2,1,0.9207,0.9231,"1",-0.247532222961355
"71",1,13," S2-19.jpg",2,0.7708,1,76,1,0,1.186,1.1883,"0",0.621559799270759
"71",1,14," S1-15.jpg",1,0.6434,2,80,2,0,1.2468,1.2491,"0",0.793155776237281
"71",1,15," S1-15.jpg",1,0.8471,1,68,1,1,1.0898,1.0923,"1",0.33121146730733
"71",1,16," S1-15.jpg",1,0.6929,2,122,2,0,1.8321,1.8341,"0",2.11420118838691
"71",1,17," S1-15.jpg",1,0.8336,1,64,2,0,1.0213,1.0237,"0",0.108391689676728
"71",1,18," S1-15.jpg",1,0.7238,2,72,1,1,1.1422,1.1441,"1",0.49240083448288
"71",1,19," S2-19.jpg",2,0.8237,1,42,2,1,0.7267,0.7292,"1",-1.05969275740116
"71",1,20," S1-15.jpg",1,0.7146,2,74,1,1,1.166,1.1684,"1",0.563185371977969
"71",1,21," S2-19.jpg",2,0.8072,1,37,2,1,0.6502,0.6528,"1",-1.44148402470893
"71",1,22," S1-15.jpg",1,0.7045,2,105,2,0,1.5732,1.5756,"0",1.59128142994542
"71",1,23," S2-19.jpg",2,0.7902,1,78,2,1,1.2339,1.2361,"1",0.757458188892545
"71",1,24," S1-15.jpg",1,0.728,2,39,1,1,0.6942,0.6968,"1",-1.21673449305124
"71",1,25," S1-15.jpg",1,0.8649,1,71,2,0,1.1144,1.1171,"0",0.407827847240788
"71",1,26," S2-19.jpg",2,0.6784,2,60,2,1,0.9756,0.9779,"1",-0.0487368979052201
"71",1,27," S1-15.jpg",1,0.886,1,38,1,1,0.6723,0.6749,"1",-1.32675943584601
"71",1,28," S2-19.jpg",2,0.6629,2,49,2,1,0.8216,0.8241,"1",-0.638408403376115
"71",1,29," S1-15.jpg",1,0.8792,1,69,2,0,1.1007,1.103,"0",0.365370558799785
"71",1,30," S2-19.jpg",2,0.647,2,45,2,1,0.7716,0.7741,"1",-0.853915628671315
"71",1,31," S1-15.jpg",1,0.8955,1,52,1,1,0.8815,0.8837,"1",-0.396870478043656
"71",1,32," S1-15.jpg",1,0.7202,2,79,1,1,1.2285,1.2308,"1",0.742404070053655
"71",1,33," S1-15.jpg",1,0.8903,1,95,1,1,1.4593,1.4619,"1",1.33332476641975
"71",1,34," S2-19.jpg",2,0.631,2,94,2,1,1.4329,1.4353,"1",1.27066234775241
"71",1,35," S1-15.jpg",1,0.8845,1,64,1,1,1.0377,1.04,"1",0.163070136840316
"71",1,36," S1-15.jpg",1,0.7118,2,133,1,1,2.0038,2.006,"1",2.42167830834201
"71",1,37," S2-19.jpg",2,0.7733,1,42,2,1,0.7321,0.7343,"1",-1.03428189085459
"71",1,38," S1-15.jpg",1,0.7029,2,59,1,1,0.9765,0.9787,"1",-0.0455719981023475
"71",1,39," S2-19.jpg",2,0.757,1,72,2,1,1.1515,1.1541,"1",0.520234358778653
"71",1,40," S2-19.jpg",2,0.6155,2,59,1,0,0.9431,0.9457,"0",-0.165025543477763
"71",1,41," S2-19.jpg",2,0.7414,1,70,2,1,1.1397,1.1419,"1",0.484880051437409
"71",1,42," S2-19.jpg",2,0.6529,2,50,2,1,0.8476,0.8503,"1",-0.531473474409244
"71",1,43," S2-19.jpg",2,0.7269,1,65,2,1,1.073,1.0752,"1",0.277887660989546
"71",1,44," S1-15.jpg",1,0.6937,2,37,2,0,0.644,0.6465,"0",-1.47437017997671
"71",1,45," S2-19.jpg",2,0.7133,1,87,2,1,1.3402,1.3426,"1",1.04110270732683
"71",1,46," S1-15.jpg",1,0.7151,2,60,1,1,0.9809,0.9832,"1",-0.0301410251316204
"71",1,47," S1-15.jpg",1,0.8783,1,98,2,0,1.5219,1.5241,"0",1.47749199508875
"71",1,48," S2-19.jpg",2,0.6392,2,61,2,1,0.9891,0.9916,"1",-0.00156711852159403
"71",1,49," S2-19.jpg",2,0.7009,1,93,2,1,1.4431,1.4454,"1",1.29500862691659
"71",1,50," S2-19.jpg",2,0.6259,2,77,1,0,1.1949,1.1971,"0",0.647220609269551
