"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
66,1,58," S4-20.jpg",1,1," blue","congruent",1,1,1.0126,0.8167,1,0.65,0.65,0.1959
66,1,59," S3-12.jpg",2,1," blue","incongruent",1,0,1.236,0.7667,1,0.65,0.35,0.4693
66,1,60," S3-12.jpg",2,3," red","neutral",2,1,1.4834,0.7667,1,0.5,0.5,0.7167
66,1,61," S3-12.jpg",2,3," red","neutral",2,1,1.7654,1.0333,1,0.5,0.5,0.7321
66,1,62," S3-12.jpg",2,2," yellow","congruent",2,1,1.3661,0.8833,1,0.65,0.65,0.4828
66,1,63," S3-12.jpg",2,2," yellow","congruent",2,1,1.3431,0.8333,1,0.65,0.65,0.5098
66,1,64," S3-12.jpg",2,1," blue","incongruent",1,0,1.1178,0.8667,1,0.65,0.35,0.2511
66,1,65," S3-12.jpg",2,2," yellow","congruent",2,1,0.7518,0.8667,1,0.65,0.65,-0.1149
66,1,66," S3-12.jpg",2,2," yellow","congruent",2,1,0.917,0.9333,1,0.65,0.65,-0.0163
66,1,67," S4-20.jpg",1,1," blue","congruent",1,1,1.0705,0.9667,1,0.65,0.65,0.1038
66,1,68," S3-12.jpg",2,2," yellow","congruent",2,1,1.0161,1.1667,1,0.65,0.65,-0.1506
66,1,69," S3-12.jpg",2,2," yellow","congruent",2,1,0.7877,1.0833,1,0.65,0.65,-0.2956
66,1,70," S3-12.jpg",2,2," yellow","congruent",2,1,0.3799,0.7667,1,0.65,0.65,-0.3868
66,1,71," S3-12.jpg",2,2," yellow","congruent",2,1,0.5767,1.0667,1,0.65,0.65,-0.49
66,1,72," S3-12.jpg",2,3," red","neutral",1,0,0.6944,0.9,1,0.5,0.5,-0.2056
66,1,73," S3-12.jpg",2,1," blue","incongruent",1,0,0.7493,0.9,1,0.65,0.35,-0.1507
66,1,74," S4-20.jpg",1,1," blue","congruent",1,1,0.4628,0.7833,1,0.65,0.65,-0.3205
66,1,75," S3-12.jpg",2,2," yellow","congruent",2,1,0.6033,0.95,1,0.65,0.65,-0.3467
66,1,76," S3-12.jpg",2,1," blue","incongruent",1,0,0.6293,0.8,1,0.65,0.35,-0.1707
66,1,77," S4-20.jpg",1,2," yellow","incongruent",2,0,0.7274,0.9333,1,0.65,0.35,-0.2059
66,1,78," S3-12.jpg",2,3," red","neutral",1,0,1.0363,0.85,1,0.5,0.5,0.1863
66,1,79," S4-20.jpg",1,2," yellow","incongruent",2,0,1.0951,0.85,1,0.65,0.35,0.2451
66,1,80," S3-12.jpg",2,3," red","neutral",2,1,0.9078,1.5,1,0.5,0.5,-0.5922
66,1,81," S3-12.jpg",2,1," blue","incongruent",1,0,0.8538,0.8667,1,0.65,0.35,-0.0129
66,1,82," S4-20.jpg",1,3," red","neutral",2,0,1.4953,1.2,1,0.5,0.5,0.2953
66,1,83," S4-20.jpg",1,3," red","neutral",1,1,1.2587,0.8167,1,0.5,0.5,0.442
66,1,84," S4-20.jpg",1,3," red","neutral",1,1,1.177,0.7833,1,0.5,0.5,0.3937
66,1,85," S4-20.jpg",1,3," red","neutral",1,1,1.068,0.75,1,0.5,0.5,0.318
66,1,86," S4-20.jpg",1,2," yellow","incongruent",1,1,1.2024,0.7833,1,0.65,0.35,0.4191
66,1,87," S4-20.jpg",1,1," blue","congruent",1,1,1.0827,0.7833,1,0.65,0.65,0.2994
66,1,88," S4-20.jpg",1,1," blue","congruent",1,1,1.0242,1,1,0.65,0.65,0.0242
66,1,89," S4-20.jpg",1,1," blue","congruent",1,1,0.7248,0.8333,1,0.65,0.65,-0.1085
66,1,90," S4-20.jpg",1,1," blue","congruent",1,1,0.8582,0.7833,1,0.65,0.65,0.0749
67,1,1," S1-15.jpg",1,2," purple","incongruent",NA,0,NA,0.8833,1,0.65,0.35,NA
67,1,2," S1-15.jpg",1,1," green","congruent",NA,0,NA,1.1333,1,0.65,0.65,NA
67,1,3," S1-15.jpg",1,3," orange","neutral",2,0,1.0971,0.7833,1,0.5,0.5,0.3138
67,1,4," S2-19.jpg",2,2," purple","congruent",1,0,0.4634,0.8667,1,0.65,0.65,-0.4033
67,1,5," S2-19.jpg",2,2," purple","congruent",2,1,0.7682,0.85,1,0.65,0.65,-0.0818
67,1,6," S2-19.jpg",2,3," orange","neutral",1,0,0.6682,1,1,0.5,0.5,-0.3318
67,1,7," S1-15.jpg",1,2," purple","incongruent",2,0,0.6796,0.8,1,0.65,0.35,-0.1204
67,1,8," S1-15.jpg",1,1," green","congruent",1,1,0.9389,0.95,1,0.65,0.65,-0.0111
67,1,9," S1-15.jpg",1,3," orange","neutral",2,0,0.778,0.8167,1,0.5,0.5,-0.0387
67,1,10," S1-15.jpg",1,3," orange","neutral",NA,0,NA,0.8333,1,0.5,0.5,NA
67,1,11," S1-15.jpg",1,3," orange","neutral",NA,0,NA,1.1667,1,0.5,0.5,NA
67,1,12," S1-15.jpg",1,1," green","congruent",2,0,0.5263,1.1,1,0.65,0.65,-0.5737
67,1,13," S1-15.jpg",1,3," orange","neutral",1,1,1.014,0.7833,1,0.5,0.5,0.2307
67,1,14," S1-15.jpg",1,2," purple","incongruent",2,0,0.49,0.8,1,0.65,0.35,-0.31
67,1,15," S1-15.jpg",1,1," green","congruent",2,0,0.454,0.9167,1,0.65,0.65,-0.4627
67,1,16," S1-15.jpg",1,1," green","congruent",1,1,0.4345,0.9167,1,0.65,0.65,-0.4822
67,1,17," S1-15.jpg",1,3," orange","neutral",2,0,0.583,1.0167,1,0.5,0.5,-0.4337
67,1,18," S1-15.jpg",1,1," green","congruent",1,1,0.6554,0.95,1,0.65,0.65,-0.2946
67,1,19," S2-19.jpg",2,3," orange","neutral",1,0,0.3704,0.9667,1,0.5,0.5,-0.5963
67,1,20," S1-15.jpg",1,2," purple","incongruent",1,1,1.9778,0.7833,1,0.65,0.35,1.1945
67,1,21," S1-15.jpg",1,2," purple","incongruent",1,1,1.2134,0.8167,1,0.65,0.35,0.3967
67,1,22," S2-19.jpg",2,3," orange","neutral",2,1,1.5073,0.8333,1,0.5,0.5,0.674
67,1,23," S1-15.jpg",1,1," green","congruent",1,1,1.2722,0.8,1,0.65,0.65,0.4722
67,1,24," S1-15.jpg",1,3," orange","neutral",1,1,1.6365,0.8167,1,0.5,0.5,0.8198
67,1,25," S2-19.jpg",2,3," orange","neutral",1,0,1.1303,0.8333,1,0.5,0.5,0.297
