subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_fitted,B_min,B_max
55,unknown_model,804.6212543742375,condition_65cue,376,12,0.0004298575690793894,-20.0,200.0,0.004621876686261844,-20.0,20.0,-0.1177595366550817,-20.0,20.0,0.07000389084256482,-20.0,20.0,-0.12793734972203788,-20.0,20.0,0.21148410469644077,-20.0,20.0,-0.0637327783370154,-20.0,20.0,0.16684543115010064,-20.0,20.0,-0.8083227268272349,-20.0,20.0,-0.27535107320538066,-20.0,20.0,-0.32359850949766344,-20.0,20.0,1.5975935149361682,0.5,15.0
56,unknown_model,630.593427297471,condition_65cue,376,12,-0.03183883948217908,-20.0,200.0,0.11761681266910355,-20.0,20.0,0.297467213456528,-20.0,20.0,-0.10835083411252859,-20.0,20.0,-0.07023074377828722,-20.0,20.0,-0.33210325298271876,-20.0,20.0,-0.2787113756422468,-20.0,20.0,0.04025833874793651,-20.0,20.0,0.15263522559471207,-20.0,20.0,-0.58142581391508,-20.0,20.0,-0.03660526331470147,-20.0,20.0,1.1812854072772048,0.5,15.0
57,unknown_model,761.3436808813243,condition_65cue,377,12,2.019956080708714,-20.0,200.0,-1.8570643692422784,-20.0,20.0,-0.6578465757084194,-20.0,20.0,-0.07928362125198579,-20.0,20.0,0.07194113103025225,-20.0,20.0,1.2564897024857027,-20.0,20.0,1.1700759334707314,-20.0,20.0,-1.525961704397541,-20.0,20.0,6.447026671975944,-20.0,20.0,5.543992352714774,-20.0,20.0,-5.496680561323316,-20.0,20.0,3.325715335744751,0.5,15.0
58,unknown_model,821.3664378669112,condition_65cue,367,12,0.004243213768375372,-20.0,200.0,0.1476135173134581,-20.0,20.0,0.1589024438768617,-20.0,20.0,0.04892628866173292,-20.0,20.0,0.1142258553529432,-20.0,20.0,-0.17465603724806242,-20.0,20.0,-0.09733742192913955,-20.0,20.0,-0.10018359507399514,-20.0,20.0,0.032944931655739335,-20.0,20.0,0.15097266183682484,-20.0,20.0,0.25195816967466234,-20.0,20.0,1.6419899778846538,0.5,15.0
59,unknown_model,497.8868172650024,condition_65cue,376,12,0.6469250544032376,-20.0,200.0,-0.41676981300045446,-20.0,20.0,4.019692262891714,-20.0,20.0,-5.420382877683805,-20.0,20.0,4.9799622490709545,-20.0,20.0,0.409248211527543,-20.0,20.0,0.5496023215038016,-20.0,20.0,-0.08489749914611748,-20.0,20.0,7.92242883563876,-20.0,20.0,-9.983709768317059,-20.0,20.0,8.694903515026475,-20.0,20.0,4.46880563155059,0.5,15.0
60,unknown_model,636.7418701012325,condition_65cue,374,12,0.13832873123860473,-20.0,200.0,0.16058590699780254,-20.0,20.0,0.14864124625448322,-20.0,20.0,0.11018770765808848,-20.0,20.0,-0.22370344172135143,-20.0,20.0,-0.34502248019114634,-20.0,20.0,-0.11005335163648321,-20.0,20.0,-0.38673598558863753,-20.0,20.0,1.196224678841451,-20.0,20.0,0.5294335684350758,-20.0,20.0,0.44091863517599494,-20.0,20.0,1.302469402788895,0.5,15.0
61,unknown_model,1013.5666781042584,condition_65cue,373,12,1.19529503713964,-20.0,200.0,0.0952484192198811,-20.0,20.0,0.6694894343990029,-20.0,20.0,-3.1941130184119717,-20.0,20.0,1.5718315922556516,-20.0,20.0,0.2641680067364762,-20.0,20.0,-0.9727925576808408,-20.0,20.0,0.7470608425992761,-20.0,20.0,4.915728537572777,-20.0,20.0,-6.127874250580061,-20.0,20.0,5.526907870065253,-20.0,20.0,4.0025088287287325,0.5,15.0
62,unknown_model,499.7211509264457,condition_65cue,378,12,0.6967927910535193,-20.0,200.0,0.17628511434830674,-20.0,20.0,1.4211564769507563,-20.0,20.0,-2.879959733452433,-20.0,20.0,1.8859473418489197,-20.0,20.0,-0.2539764632038532,-20.0,20.0,-0.29833291781966,-20.0,20.0,-0.049300468588840164,-20.0,20.0,5.483453051293557,-20.0,20.0,-5.785221218754256,-20.0,20.0,4.969368314257447,-20.0,20.0,3.5181004514240826,0.5,15.0
63,unknown_model,624.574017027245,condition_65cue,356,12,1.705368013979004,-20.0,200.0,0.5962080787676738,-20.0,20.0,7.878491677760962,-20.0,20.0,-8.454015923440252,-20.0,20.0,7.640655587930447,-20.0,20.0,1.8076858892488485,-20.0,20.0,-4.274725893011684,-20.0,20.0,3.561278061722328,-20.0,20.0,6.457494315894769,-20.0,20.0,-6.509140048498228,-20.0,20.0,6.203739249631688,-20.0,20.0,13.711531944258036,0.5,15.0
64,unknown_model,601.6394321020055,condition_65cue,375,12,0.14654857810391222,-20.0,200.0,1.2027104506262396,-20.0,20.0,5.328305774586495,-20.0,20.0,-5.685849661625977,-20.0,20.0,4.081790515589427,-20.0,20.0,-3.25394339756709,-20.0,20.0,6.502864047297212,-20.0,20.0,-2.0668337209643277,-20.0,20.0,8.843581412629042,-20.0,20.0,-9.122786789038765,-20.0,20.0,8.611869597089429,-20.0,20.0,4.903165392897641,0.5,15.0
65,unknown_model,100.62621148435258,condition_65cue,378,12,0.18138636474733608,-20.0,200.0,0.443190468042585,-20.0,20.0,7.542132613695125,-20.0,20.0,-7.468379091823394,-20.0,20.0,7.334137389637153,-20.0,20.0,-6.394531997442087,-20.0,20.0,2.3857473828736184,-20.0,20.0,-12.140201284786073,-20.0,20.0,10.776941969936567,-20.0,20.0,-10.412903760360447,-20.0,20.0,9.622839005079385,-20.0,20.0,6.351092848157115,0.5,15.0
66,unknown_model,728.8613201648393,condition_65cue,378,12,0.008873801197063174,-20.0,200.0,0.09026021769797503,-20.0,20.0,0.09358018421452242,-20.0,20.0,0.09730203416042958,-20.0,20.0,-0.11789135786868737,-20.0,20.0,0.32781076026880057,-20.0,20.0,-0.4031821363120786,-20.0,20.0,0.43691279628625895,-20.0,20.0,1.018269379753866,-20.0,20.0,-0.387546987288125,-20.0,20.0,0.9820833614756919,-20.0,20.0,1.4980428053732906,0.5,15.0
67,unknown_model,613.1467128156606,condition_65cue,342,12,-0.3917351919870664,-20.0,200.0,-0.24308822798595411,-20.0,20.0,4.491216189268317,-20.0,20.0,-2.545526611550255,-20.0,20.0,4.411403695562938,-20.0,20.0,-1.3752408720809985,-20.0,20.0,-0.1373200659582847,-20.0,20.0,-1.4737077914917809,-20.0,20.0,4.806765927530314,-20.0,20.0,-4.401019562880329,-20.0,20.0,4.683885514117755,-20.0,20.0,5.9394400447815325,0.5,15.0
68,unknown_model,716.7741383322535,condition_65cue,377,12,2.110410052076704,-20.0,200.0,0.9967946101096284,-20.0,20.0,1.737790917764799,-20.0,20.0,1.6061523350917732,-20.0,20.0,1.877716970220533,-20.0,20.0,-4.411460621889075,-20.0,20.0,-0.2968628956727338,-20.0,20.0,-1.4757840155727144,-20.0,20.0,6.396302851100578,-20.0,20.0,6.337775182858726,-20.0,20.0,6.10952160784505,-20.0,20.0,3.9613247852017066,0.5,15.0
69,unknown_model,485.20270903845505,condition_65cue,378,12,-0.022379477314911543,-20.0,200.0,-0.03503808754092146,-20.0,20.0,0.17504456712136998,-20.0,20.0,0.3701456949197579,-20.0,20.0,-0.6662562930928726,-20.0,20.0,-0.2861537330721495,-20.0,20.0,-0.0008085999143994102,-20.0,20.0,8.77278892658794,-20.0,20.0,-0.32322036526569403,-20.0,20.0,-0.01063436225762043,-20.0,20.0,0.6250159308225637,-20.0,20.0,0.9852462183622324,0.5,15.0
70,unknown_model,706.0056617505679,condition_65cue,378,12,-0.05779473211237982,-20.0,200.0,0.053498709112634366,-20.0,20.0,0.3579231272867027,-20.0,20.0,-0.2196362650403596,-20.0,20.0,-0.09905879816097059,-20.0,20.0,0.06695509071511938,-20.0,20.0,0.03687619711540159,-20.0,20.0,0.5071116213312568,-20.0,20.0,0.1596832097118921,-20.0,20.0,0.19358665171619618,-20.0,20.0,0.38084846057434096,-20.0,20.0,1.0442249598534241,0.5,15.0
71,unknown_model,166.76606207428532,condition_65cue,376,12,0.19573886321445086,-20.0,200.0,0.5069282234092093,-20.0,20.0,2.9447186130692367,-20.0,20.0,-3.463655703614744,-20.0,20.0,2.691336035705319,-20.0,20.0,-1.0747336983732885,-20.0,20.0,2.3780267802893307,-20.0,20.0,-1.8989485094452088,-20.0,20.0,6.82806922776887,-20.0,20.0,-7.22189564079274,-20.0,20.0,6.631785477295522,-20.0,20.0,3.7946488840241543,0.5,15.0
72,unknown_model,786.4702014450089,condition_65cue,378,12,-0.4690773414417508,-20.0,200.0,0.6488959880039169,-20.0,20.0,3.1200963849453647,-20.0,20.0,-1.7225025467765505,-20.0,20.0,1.5720905524478934,-20.0,20.0,1.7024640427786826,-20.0,20.0,-2.9148172474588705,-20.0,20.0,0.6151047031749813,-20.0,20.0,7.9613074596168785,-20.0,20.0,-7.4227223623875265,-20.0,20.0,7.4584603837003876,-20.0,20.0,3.397954295658396,0.5,15.0
73,unknown_model,360.94387033665885,condition_65cue,378,12,0.8540549782971408,-20.0,200.0,0.29723278454474666,-20.0,20.0,4.474853313484135,-20.0,20.0,-6.3328978596942855,-20.0,20.0,4.998884098322974,-20.0,20.0,-0.8744171839648966,-20.0,20.0,0.6037844240409667,-20.0,20.0,-0.18115668520164305,-20.0,20.0,8.438701846585941,-20.0,20.0,-10.381075159905215,-20.0,20.0,8.073922366065588,-20.0,20.0,4.987902596340112,0.5,15.0
75,unknown_model,589.8715518436002,condition_65cue,340,12,-0.20180594260473242,-20.0,200.0,-0.4131130276833065,-20.0,20.0,3.7307371667906692,-20.0,20.0,-3.2584976620487467,-20.0,20.0,3.9009539128216,-20.0,20.0,-0.5675379790375472,-20.0,20.0,1.156851571617266,-20.0,20.0,-1.8436998656727956,-20.0,20.0,4.697809075799423,-20.0,20.0,-5.172750284977876,-20.0,20.0,5.933869518125312,-20.0,20.0,5.241442526791659,0.5,15.0
76,unknown_model,962.2114984624997,condition_65cue,373,12,1.3341176590027426,-20.0,200.0,0.06424857231666904,-20.0,20.0,7.141998852722825,-20.0,20.0,-7.904424536032142,-20.0,20.0,-3.6692886970654937,-20.0,20.0,0.31516803473572497,-20.0,20.0,-3.5245242872782523,-20.0,20.0,-5.664627539010182,-20.0,20.0,5.517390918834955,-20.0,20.0,-4.940856666500073,-20.0,20.0,-4.66614219864797,-20.0,20.0,10.295447363782804,0.5,15.0
77,unknown_model,315.44891834996014,condition_65cue,377,12,0.5816435134175526,-20.0,200.0,0.9534588375049641,-20.0,20.0,3.233671718350194,-20.0,20.0,-4.304640414368172,-20.0,20.0,2.9612268238430475,-20.0,20.0,-0.687365736215483,-20.0,20.0,6.042442023080013,-20.0,20.0,-0.05887794312186067,-20.0,20.0,7.986765942609312,-20.0,20.0,-8.12322291268231,-20.0,20.0,7.353232707874753,-20.0,20.0,4.340376169208556,0.5,15.0
