subID,model,loss,condition,sample_size,n_params,noise1_cong_fitted,noise1_cong_min,noise1_cong_max,noise1_neut_fitted,noise1_neut_min,noise1_neut_max,signal1_cong_fitted,signal1_cong_min,signal1_cong_max,signal1_incong_fitted,signal1_incong_min,signal1_incong_max,signal1_neut_fitted,signal1_neut_min,signal1_neut_max,noise2_cong_fitted,noise2_cong_min,noise2_cong_max,noise2_incong_fitted,noise2_incong_min,noise2_incong_max,noise2_neut_fitted,noise2_neut_min,noise2_neut_max,noise2_cong_shortS1_fitted,noise2_cong_shortS1_min,noise2_cong_shortS1_max,noise2_incong_shortS1_fitted,noise2_incong_shortS1_min,noise2_incong_shortS1_max,noise2_neut_shortS1_fitted,noise2_neut_shortS1_min,noise2_neut_shortS1_max,signal2_cong_fitted,signal2_cong_min,signal2_cong_max,signal2_incong_fitted,signal2_incong_min,signal2_incong_max,signal2_neut_fitted,signal2_neut_min,signal2_neut_max,B_fitted,B_min,B_max
63,unknown_model,847.2724608319376,condition_65cue,356,15,1.1140686839015808,0.0,10.0,0.0273435470077735,0.0,10.0,6.544698842301653,0.0,10.0,2.8078944013016764,0.0,10.0,4.883167818499507,0.0,10.0,0.0,0.0,10.0,3.138763414129276,0.0,10.0,3.5913972139391874,0.0,10.0,0.7491694484366155,0.0,10.0,3.8734634444626037,0.0,10.0,2.814281223487826,0.0,10.0,5.968251059605281,0.0,10.0,5.583658916862153,0.0,10.0,5.994168026644836,0.0,10.0,11.031578722052418,0.5,12.0
64,unknown_model,871.5747770607028,condition_65cue,375,15,0.2769092086037226,0.0,10.0,0.7961311471329164,0.0,10.0,4.0728703133346515,0.0,10.0,4.0326161871047015,0.0,10.0,3.3754809016144356,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,7.5535676259802305,0.0,10.0,5.196473535107812,0.0,10.0,7.640633613121155,0.0,10.0,4.2417539084005,0.5,12.0
65,unknown_model,619.7782431978621,condition_65cue,378,15,0.5839917464534831,0.0,10.0,0.2885625854806363,0.0,10.0,6.8545852978169,0.0,10.0,4.959822280382491,0.0,10.0,7.244492237494903,0.0,10.0,0.0,0.0,10.0,4.0324755304669235,0.0,10.0,6.172738526146668,0.0,10.0,0.5330872817097404,0.0,10.0,6.136745582267188,0.0,10.0,8.974599472436694,0.0,10.0,10.0,0.0,10.0,10.0,0.0,10.0,9.55632675807289,0.0,10.0,6.171864238438415,0.5,12.0
66,unknown_model,941.1806911311982,condition_65cue,378,15,1.225093399832003,0.0,10.0,1.3456531550976063,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.5890659611978004,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,2.4437122278741414,0.0,10.0,0.0,0.0,10.0,0.2620826848487601,0.0,10.0,0.5405300708919011,0.0,10.0,5.9504519147913815,0.0,10.0,5.185260180059903,0.0,10.0,5.280141205995758,0.0,10.0,3.096785160916281,0.5,12.0
67,unknown_model,933.0208863332233,condition_65cue,342,15,0.9962597434315192,0.0,10.0,0.34518558679752054,0.0,10.0,3.6605301029889854,0.0,10.0,0.0,0.0,10.0,4.667888091160846,0.0,10.0,0.0,0.0,10.0,1.2288052102272486,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.696464431241114,0.0,10.0,0.0,0.0,10.0,4.4969974005704705,0.0,10.0,6.484292032694782,0.0,10.0,4.353678749290851,0.0,10.0,7.2373246499525425,0.5,12.0
68,unknown_model,746.1812527882292,condition_65cue,377,15,0.98088545681697,0.0,10.0,0.0,0.0,10.0,1.1385372594370817,0.0,10.0,1.1485980269167206,0.0,10.0,0.6156891527007841,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,2.26308030986809,0.0,10.0,0.0,0.0,10.0,0.082586678715776,0.0,10.0,0.0,0.0,10.0,5.043694485886214,0.0,10.0,5.3892275128412415,0.0,10.0,5.241010448922923,0.0,10.0,2.7806382756327706,0.5,12.0
69,unknown_model,488.12601534167095,condition_65cue,378,15,0.0,0.0,10.0,0.0,0.0,10.0,0.11407070122087694,0.0,10.0,0.37542349485612736,0.0,10.0,0.0,0.0,10.0,8.64890127040173,0.0,10.0,4.346304510085791,0.0,10.0,5.803246907406766,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.5813976460166816,0.0,10.0,1.0055695271509268,0.5,12.0
70,unknown_model,706.4044461560172,condition_65cue,378,15,0.0,0.0,10.0,0.03770823139122772,0.0,10.0,0.3341610030686424,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.2410330444442984,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.02985435880678877,0.0,10.0,0.024339678579377105,0.0,10.0,0.7437034396954403,0.0,10.0,0.15814547758134684,0.0,10.0,0.17141217866166236,0.0,10.0,0.374585802206449,0.0,10.0,1.0361018525115853,0.5,12.0
71,unknown_model,769.3456664445014,condition_65cue,376,15,0.8288526003954034,0.0,10.0,1.0157407595024055,0.0,10.0,2.7298635642711346,0.0,10.0,0.0,0.0,10.0,2.4933145481368104,0.0,10.0,0.0,0.0,10.0,7.559957301118954,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,3.7031401284460657,0.0,10.0,0.0,0.0,10.0,6.678294814471613,0.0,10.0,6.9212782060231115,0.0,10.0,6.66796817217795,0.0,10.0,4.221930505966082,0.5,12.0
72,unknown_model,908.2027391935953,condition_65cue,378,15,3.164857797596105,0.0,10.0,3.3206371657518123,0.0,10.0,3.0747529899588057,0.0,10.0,2.804622340453783,0.0,10.0,2.527549305498968,0.0,10.0,1.916140141474063,0.0,10.0,5.308909967103283,0.0,10.0,2.7657494775142086,0.0,10.0,1.8366558718117183,0.0,10.0,1.5172206917311468,0.0,10.0,0.0,0.0,10.0,7.952664384392991,0.0,10.0,6.840257473800199,0.0,10.0,8.302546717295348,0.0,10.0,6.138119383091098,0.5,12.0
73,unknown_model,716.6775761688607,condition_65cue,378,15,0.8746294045476398,0.0,10.0,0.24877852602630288,0.0,10.0,4.368333506998072,0.0,10.0,4.803926991752965,0.0,10.0,4.942489526537471,0.0,10.0,3.127708075582341,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.3729972593354671,0.0,10.0,8.326700320965664,0.0,10.0,8.05595816492595,0.0,10.0,8.02952659295723,0.0,10.0,4.935442173527354,0.5,12.0
75,unknown_model,943.8244793192627,condition_65cue,340,15,2.397771761574701,0.0,10.0,0.5096307942447382,0.0,10.0,4.516945777645578,0.0,10.0,4.311752057786848,0.0,10.0,6.198823958709566,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.13532833372698788,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,4.646146436293873,0.0,10.0,4.6749621126018575,0.0,10.0,5.582689948617527,0.0,10.0,8.034296929786894,0.5,12.0
76,unknown_model,1131.2420776253366,condition_65cue,373,15,5.375837748329302,0.0,10.0,2.9046476859556183,0.0,10.0,3.1667864379337853,0.0,10.0,3.2381337677882955,0.0,10.0,4.404595880135877,0.0,10.0,0.8675589349607272,0.0,10.0,2.111540499595709,0.0,10.0,3.2751951192727073,0.0,10.0,0.0,0.0,10.0,2.4100421234241503,0.0,10.0,2.689447234137362,0.0,10.0,5.434706889535993,0.0,10.0,4.536026794543883,0.0,10.0,5.130726526563716,0.0,10.0,10.941973566437422,0.5,12.0
77,unknown_model,742.4271775966271,condition_65cue,377,15,3.66354193483463,0.0,10.0,3.275718165082815,0.0,10.0,2.792767759682116,0.0,10.0,2.0673397672115335,0.0,10.0,3.240865795514539,0.0,10.0,1.118908785003859,0.0,10.0,1.1279242393393007,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,1.0308727566423357,0.0,10.0,0.0,0.0,10.0,8.219737629604055,0.0,10.0,7.041542604275469,0.0,10.0,8.009558434602624,0.0,10.0,6.4972291537851845,0.5,12.0
